Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.97     15.99    15.99 981921492     0.00     0.00  lcePrezzaAdv::fingerprintTo(unsigned long)
 17.76     31.79    15.80 859362537     0.00     0.00  lcePrezzaAdv::getBlock(unsigned long)
 16.79     46.73    14.94 981921492     0.00     0.00  lcePrezza::fingerprintTo(unsigned long)
 16.33     61.26    14.53 859362537     0.00     0.00  lcePrezza::getBlock(unsigned long)
 10.32     70.45     9.19 490960746     0.00     0.00  lcePrezzaAdv::fingerprintExp(unsigned long, int)
  9.99     79.33     8.89 490960746     0.00     0.00  lcePrezza::fingerprintExp(unsigned long, int)
  2.42     81.49     2.15 20000000     0.00     0.00  lcePrezza::lce(unsigned long, unsigned long)
  2.32     83.55     2.06 20000000     0.00     0.00  lcePrezzaAdv::lce(unsigned long, unsigned long)
  2.06     85.38     1.83        1     1.83     1.83  lcePrezzaAdv::calculateFingerprints()
  2.00     87.16     1.78        1     1.78     1.78  lcePrezza::calculateFingerprints()
  1.03     88.08     0.92                             main
  0.29     88.34     0.26                             lcePrezza::getChar(unsigned long)
  0.18     88.50     0.16                             lcePrezzaAdv::getChar(unsigned long)
  0.17     88.65     0.15        1     0.15     0.15  lcePrezzaAdv::calculatePowers()
  0.15     88.78     0.13        1     0.13     0.13  lcePrezza::calculatePowers()
  0.11     88.87     0.10 40000152     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.07     88.94     0.07 40399996     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.01     88.95     0.01   400359     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.01     88.96     0.01   399996     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::back()
  0.01     88.97     0.01   399996     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&)
